"","country","countryiso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"110","Latvia","LVA","26457734181.4396","28167250454.7604","30167978678.3338","32711347807.4127","35438017512.808","39228835380.2612","43892902793.6387","48273093780.0368","46560536156.5081","39855031246.67","38284475865.0563","40727416408.8508","42370616307.6747","43400159240.0695","44206639943.9569","45520330356.9986","46525792198.5899"
"111","Lebanon","LBN","40545031725.1519","42114634949.853","43552893853.0641","44956374519.6133","47614990629.9249","48915966854.5413","49677333622.3566","54321917303.0422","60011525568.2422","66045370824.1285","71353602096.7226","72008412533.3855","74027706163.779","75979249752.2083","77501054363.9572","78133122013.7756","79695784453.9353"
"112","Lesotho","LSO","3328496038.16319","3447043168.81472","3471994104.73059","3630309287.81783","3691747694.66509","3819708208.25911","3981285491.19185","4173699558.70747","4454987446.19559","4550961606.07715","4827297752.21238","5160445696.76619","5469972937.10187","5570787003.15713","5744691477.91274","5889261679.68782","6030436380.35717"
"113","Liberia","LBR","2419245542.63296","2489856480.77696","2583543928.96426","1804728862.57029","1852023681.99857","1949847123.39599","2106676486.72078","2307545832.5839","2472464732.21384","2603507812.60831","2762320349.23903","2988830566.66257","3227771169.87093","3508712338.29124","3533313381.37627","3533313381.37627","3476780367.27425"
"114","Libya","LBY","117406374145.144","115336642806.984","114230738121.659","129099012224.358","134858932460.423","150867670769.863","160674894958.471","170881473616.78","175439490496.92","174053269693.44","182792988664.964","69322560014.4654","154686051920.146","133648748859.007","101573049132.845","92571605498.0784","89983795122.0448"
"115","Liechtenstein","LIE","","","","","","","","","","","","","","","","",""
"116","Lithuania","LTU","42659211483.7322","45442482248.9831","48514734655.5014","53627491391.358","57140136603.0512","61555588043.3121","66114668419.2914","73444771550.6783","75374957405.015","64208788115.4097","65261696439.4008","69205546062.1998","71854010482.4239","74367881147.3626","76998708768.7128","78565362206.8628","80407626253.0823"
"117","Luxembourg","LUX","35641266895.965","36543694836.0446","37939470223.0149","38557613098.3109","39950382217.2853","41217785214.6999","43352242437.3619","46974128599.1102","46373054426.7791","44351835227.9513","46509538067.72","47690524461.9649","47522406130.3068","49259050866.1997","52102241846.262","53593238485.7579","55245326869.7977"
"118","Macao SAR, China","MAC","18071626016.6709","18593607481.6461","20257175625.2426","22617820282.1921","28669336411.7382","30979930314.2929","35104740175.6522","40176549954.3225","41539978755.5583","42088720029.8138","52721944986.5804","64148218365.2919","70073699096.8077","77922086864.3285","76986154275.5471","60361374984.1033","59840384623.1755"
"119","Macedonia, FYR","MKD","17541460782.009","17003421087.1209","17257457074.4999","17640956120.5999","18465569975.9789","19337768558.5101","20331154595.0401","21647289215.7328","22831766488.5737","22749888157.0048","23514002326.3471","24064204652.4177","23954427501.8993","24655158062.3471","25550051863.889","26531588739.1124","27307238599.8855"
"120","Madagascar","MDG","22767731871.9076","24137853996.5255","21078673520.3615","23141198987.0447","24357732651.851","25478894719.5946","26758599469.8959","28428490862.2468","30455019682.2432","29232597651.7321","29309511789.5579","29735787033.419","30636040392.1695","31326945612.8668","32365701443.6014","33374415657.1567","34769462972.8369"
"121","Malawi","MWI","9851281442.04086","9361183751.88291","9520323876.94092","10063519230.6387","10609012058.4365","10955791575.6412","11470713778.8228","12571902301.8889","13532362545.2508","14659352621.0006","15667046141.8357","16427533195.5102","16737323535.5758","17607664359.1505","18611301228.2862","19132417662.4927","19607674690.0452"
"122","Malaysia","MYS","378159417088.766","380117055043.005","400609121064.804","423798377156.889","452546476198.707","476676883979.36","503298558962.243","535000257766.716","560850239160.266","552361609677.616","593373616252.471","624786298313.787","658983690151.73","689914556020.825","731355805093.53","768128421407.133","800542298734.442"
"123","Maldives","MDV","2738855394.78922","2630844952.53116","2822064926.98552","3210100260.4126","3403789814.83994","2956904431.3874","3728996339.82154","4016646168.01011","4397638418.84426","4079740109.32912","4376138493.92722","4751030617.62781","4870632299.48483","5225266640.45532","5608258117.81291","5734215355.36413","6087624122.48675"
"124","Mali","MLI","16044850498.0007","18511945131.2382","19086983210.4661","20827533225.0689","21152442464.4025","22534704375.6329","23585314406.4351","24409294915.3806","25574443982.5958","26771089018.8461","28220329132.2568","29134739169.0792","28891120637.587","29556652103.8294","31638432393.3785","33524899738.7937","35469343921.985"
"125","Malta","MLT","9605484235.92054","9663919558.0769","9952176726.51891","10205337070.3731","10250588813.7503","10638435448.9161","10832982314.1439","11264833597.397","11641812687.8935","11355158927.6813","11757436236.9162","11912966835.2165","12236142671.7764","12800364212.2312","13839016432.2663","15170557888.9632","15964066806.2937"
"126","Marshall Islands","MHL","150939625.499733","159035063.275355","163195187.644426","163472836.660221","163666617.728247","168438242.869539","170858200.785933","177099945.065167","174186873.524221","171337232.570815","182394716.781103","184595346.929185","190978408.07732","196440541.834644","194953599.259928","194242902.519767","197953903.435998"
"127","Mauritania","MRT","7453868047.39767","7603601119.49972","7654165382.97104","8111750781.24257","8577967455.15086","9347361582.5058","11111124524.8606","11424217877.5457","11547595679.6955","11427260297.8526","11972763099.8592","12535969841.7305","13262439093.6617","14070155948.6876","14855206470.4358","15063178832.6818","15364442268.0945"
"128","Mauritius","MUS","13147167424.4662","13485519019.0748","13770510284.7886","14274078071.1304","15094233413.6508","15281611346.2122","16586394384.8921","17536299868.7693","18480973778.8718","19093632287.8724","19929399378.9064","20742028226.4255","21467194078.8355","22188578978.8102","23019446833.8431","23817914129.9842","24722994864.4974"
"129","Mexico","MEX","1595250525621.06","1588799489999.43","1588166441081.06","1611137405473.25","1674303510533.35","1712943205254.34","1789941336614.17","1830956870783.81","1851895411231.5","1754008958112.34","1843781208831.05","1911319060713.18","1980935468337.49","2007759156277.08","2064885601180.3","2132417109272.63","2194541419890.21"
"130","Micronesia, Fed. Sts.","FSM","335092810.326129","340947529.570489","342992872.211566","349670355.856724","338723018.412776","345689711.080848","345237839.617241","338462871.369726","330956698.06574","334852696.298324","341690020.832731","353126615.296906","346101234.358819","332746831.378793","325572613.602084","341628228.856128","341410405.084723"
"131","Moldova","MDA","8447594196.36651","8962897466.07473","9662003449.33921","10299695667.9255","11061873130.8993","11891513626.2634","12462306264.715","12836175477.441","13837397177.5482","13007153311.0369","13930661208.1436","14877946210.3745","14773800564.1212","16162537831.8084","16938339607.2362","16870586226.8704","17629762601.2789"
"132","Monaco","MCO","","","","","","","","","","","","","","","","",""
"133","Mongolia","MNG","11160118771.1605","11489644774.8067","12033447187.745","12876346189.963","14244510245.4509","15277759362.2932","16584960326.9503","18284589774.397","19911985541.8067","19659382304.1871","20910733774.0928","24526362242.0886","27547965885.7004","30757005343.7441","33182264566.4613","33971947980.1492","34394288108.0953"
"134","Montenegro","MNE","6289538159.2887","6358713110.90733","6479778424.02383","6640649581.02584","6934567877.50526","7224474723.20273","7843353583.07766","8377493864.94428","8982583178.32516","8462033552.42538","8693414647.31479","8974076919.66396","8729644002.78798","9039460557.49368","9200695855.31259","9512637646.77948","9793197818.05681"
"135","Morocco","MAR","130764618088.936","140336545574.664","144717080193.755","153343900009.771","160699835050.497","165989494593.682","178562587377.862","184868693270.546","195818979327.396","204129061598.184","211918050774.913","223034630236.893","229747886208.358","240167927438.529","246579195675.969","257797321218.896","260948748195.504"
"136","Mozambique","MOZ","10147043443.1955","11437845371.1583","12443696079.1552","13252611816.187","14287797989.3377","15533789398.9543","17064031608.4163","18331217003.1052","19591709145.1517","20836168690.2082","22229529470.2057","23811739934.0183","25525753222.8233","27348721677.8104","29384579524.713","31322194557.2426","32500830897.0685"
"137","Myanmar","MMR","60221104519.1413","67052584851.2239","75116002450.3367","85515059493.5574","97114887944.8312","110292358553.608","124714299172.009","139669333592.302","153992850292.582","170239110005.914","186640693983.304","197076675497.924","211527658640.394","229350981325.279","247678976353.734","264997967349.057","280558600892.05"
"138","Namibia","NAM","11597068672.6808","11733676210.683","12295562223.4441","12816868771.6469","14389440641.4833","14753387382.4224","15796920343.8673","16842217483.7141","17288504578.0913","17339673542.8735","18386859674.9856","19322996884.943","20301065542.6926","21440913469.1581","22802771244.7122","24195275309.1856","24364666242.3944"
"139","Nauru","NRU","","","","","","","","39848315.1579577","53563822.5745324","58202288.0453032","66089179.2783534","73811384.0187438","81256407.3109864","109058272.861343","148890823.420096","153071962.459577","168991452.677548"
"140","Nepal","NPL","36554323947.7626","38308844733.3331","38354917592.3182","39868033576.9544","41734895411.0866","43186927981.927","44640001747.3208","46162922314.0009","48981002138.8187","51201349523.8087","53667418823.386","55503825716.8332","58157570334.6494","60558825273.2816","64185684029.7077","66318513615.6313","66592337371.2132"
"141","Netherlands","NLD","664439380911.065","678553829772.888","679257014978.114","681185579026.989","695018457596.607","710033400059.855","735016897712.313","762201299999.9","775151563338.64","745947080653.357","756410198215.739","768994037544.928","760865482934.042","759417257663.058","770198630775.042","787610950461.217","805016691839.378"
"142","New Caledonia","NCL","","","","","","","","","","","","","","","","",""
"143","New Zealand","NZL","106551497920.773","110597946705.57","116194857342.217","121470417644.013","125442051026.401","129605354515.885","132939987422.885","137939086754.918","135807201717.211","138409355499.093","139741071063.266","143508208746.799","147095076711.864","150063470056.305","155383207190.314","162273356890.616","167906606429.154"
"144","Nicaragua","NIC","17373017701.6415","17887405572.052","18022265688.1864","18476558875.2191","19458065188.9383","20291337042.8311","21063394946.3543","22132647020.7937","22893062122.8901","22139270242.6285","23115634004.1456","24575775913.5901","26172251873.4901","27461783341.8105","28775956053.9645","30148168824.9684","31552699411.2014"
"145","Niger","NER","8553665059.15408","9161346559.77179","9436106523.20669","9936220168.77748","9946156389.0293","10393733426.4722","10996569965.3667","11342584780.4281","12430074742.6845","12341489183.1152","13374378007.5549","13679084420.6116","15300031190.1617","16106100312.676","17318735541.8718","18069951476.1142","18960025693.6595"
"146","Nigeria","NGA","348476938056.296","363848482985.796","377618867985.563","416718222527.213","557301344581.464","576498519048.468","623834609859.568","666432522053.348","708219598550.843","757330491735.703","816703229268.353","856618673550.592","893275762114.417","941462775527.185","1000866427350","1027416343897.91","1010804368047.04"
"147","Northern Mariana Islands","MNP","","","","","","","","","","","","","","","","",""
"148","Norway","NOR","260678481609.891","266114483068.976","269940434422.819","272423459610.38","283208807985.202","290642247725.461","297603398309.469","306487022945.724","307960588505.819","302752840649.991","304846870249.41","307809783307.585","316187216839.335","319489441599.414","325799733298.399","332218306630.049","335844353408.677"
"149","Oman","OMN","99714423105.748","104184076348.643","103037462607.99","100287424212.41","101583250621.179","104113139178.554","109706168123.624","114591048422.467","123987165822.532","131565824002.747","137887181995.879","136358363675.009","149084247377.929","155603128698.117","159883819996.552","167460643594.782","176477002523.943"
"150","Pakistan","PAK","484126640027.63","493724373362.681","509644170039.429","534343162148.067","573716619354.5","617705218216.351","655864217731.327","687560936960.628","699259136320.384","719059767225.284","730612842689.226","750693024684.963","777020079943.001","811181430791.264","849101793880.401","889274051964.547","938421879752.483"
"151","Palau","PLW","237599449.502709","250862459.169528","258281474.626013","251839650.975867","266291288.632356","282513997.277997","274976883.249715","276308166.977537","258585025.657408","244751087.347115","242499368.417348","257872969.73012","268096698.89562","264031723.636991","271153301.879429","298642553.136459","298818223.488297"
"152","Panama","PAN","32196795850.2512","32381693377.6066","33103529740.277","34495697280.6601","37090491258.8254","39757771912.8214","43197799530.0022","48374617538.9998","53142252879.4178","53802807000.1957","56938431091.9103","63380232184.5039","69578075874.6899","74381354357.5708","78149969739.2636","82507428179.3766","86623387474.4984"
"153","Papua New Guinea","PNG","15295188896.2128","15276637574.8821","15252362916.3385","15582439683.8588","16006465252.3892","17022042807.1546","17412607809.2251","19345020793.4522","19288092951.4844","20600754560.6618","22686516344.0097","22937726618.7648","24003968647.5997","24923304127.169","28766839776.0083","30291190855.3678","30866723481.6198"
"154","Paraguay","PRY","32265822175.3373","31996706533.9344","31989858606.8284","33372060396.3309","34726104772.5917","35466981414.1533","37171921863.8843","39187243129.5966","41679205776.947","40026335228.2801","45266984771.214","47232661525.6067","46647463724.8769","53195031260.9932","55707078172.8341","57357253470.3423","59662759791.846"
"155","Peru","PER","170086294377.68","171137244537.578","180470263692.452","187986891930.036","197307664032.792","209708569743.291","225497316246.004","244706052052.742","267039317031.152","269965597046.66","292460370024.879","310964900334.817","330057289146.432","349373952099.962","357675157113.873","369304498540.921","383896861139.831"
"156","Philippines","PHL","329445218112.702","338979320095.581","351338178371.915","368800981210.296","393501882818.013","412302095642.144","433918931062.634","462629881319.843","481841775376.226","487374919729.385","524572664076.834","543770720550.029","580115370642.123","621094861182.405","659262996145.743","699257508209.308","747336460351.423"
"157","Poland","POL","563644562993.499","570678877792.809","582329879985.341","603075216283.877","634047045738.359","656198484341.095","696748952043.433","745763861167.56","777456673512.194","799382971219.087","828216141525.126","869769693309.293","883754778000.423","896055692894.084","925474511901.387","961055249191.161","988583030317.672"
"158","Portugal","PRT","267532107224.513","272731072640.452","274827817453.899","272260361795.028","277192584337.388","279318053929.939","283656013687.548","290724728488.065","291304062192.188","282628721932.724","287994968535.799","282733725683.416","271344485298.987","268277869798.31","270674094798.987","275605957687.386","280069160894.358"
"159","Puerto Rico","PRI","118148442582.442","125607710897.192","126758854550.161","126826568882.689","137922215651.245","135181567139.997","133276062063.255","131726948210.343","129297548034.573","126773110199.114","126249215100.085","125796598245.822","125833425338.951","125447334846.469","123954055618.623","122574821582.404","119380368246.146"
"160","Qatar","QAT","64156673602.4954","66657620466.6698","71445071915.3253","74102799038.226","88344553238.0004","94963997265.5768","119816308653.192","141366058707.675","166336332189.353","186224437446.766","222710146627.817","252498021613.775","264333258304.437","275991080905.441","286972440751.688","297162877140.175","303769167381.916"
"161","Romania","ROU","234999585559.689","248140767889.558","261004862269.236","275423496037.292","298445020346.936","310895890865.787","335940296344.431","358998423233.823","388651221932.718","365680534539.389","355399062533.614","362612874471.295","367102683895.173","380067274831.525","391759337483.691","407327099610.646","426963420419.128"
"162","Russian Federation","RUS","2059806428657.14","2164691447198.56","2267377263738.53","2432801806035.07","2607378427585.96","2773629752630.77","2999775767692.31","3255809035566.56","3426672380853.37","3158676273694.33","3300934386469.6","3475384986433.43","3602441640821.3","3666757994798.84","3693840697699.41","3589369987502.86","3581297100134.44"
"163","Rwanda","RWA","6363769140.95641","6903708334.65697","7814450203.0014","7986553495.27329","8581366153.42481","9386119456.65532","10252183817.7558","11034762436.3506","12266379264.5351","13032814848.0298","13988724739.144","15110215757.4687","16416604066.1267","17181432788.4158","18491444146.2339","20131261229.329","21335375359.407"
"164","Samoa","WSM","755333286.736156","807751648.070909","842840344.085509","880898624.033888","921640202.551895","959948104.786922","978847639.215345","1040736668.85208","1051238603.71866","1000692190.18202","1005487093.99996","1063589611.12987","1067866343.45246","1047215316.67029","1059741554.79038","1077065955.66864","1154024136.87782"
"165","San Marino","SMR","2074953189.85734","2190145255.91287","2197625260.20218","2282897309.10043","2387617369.15091","2444465401.74974","2538713455.79517","2719729559.59671","2764609585.33263","2410057382.01887","2297857317.67907","2080937193.28879","1923857103.21308","1865513069.75638","1849057060.31988","1858033065.46706","1875985075.76143"
"166","Sao Tome and Principe","STP","","285733748.191736","292525289.288773","311754359.31882","323701494.314197","346664135.253566","378264812.524689","390572055.046749","422544954.549734","432797083.951981","461673241.858307","481978562.17599","497122212.195401","521057624.564654","555186550.396688","576394612.970886","600483350.056523"
"167","Saudi Arabia","SAU","894349022610.612","883520746706.963","858612755959.222","955138529048.407","1031152671690.04","1088627576133.15","1118982891717.87","1139651963221.14","1210877621118","1185942403399.99","1245707895807.45","1370239542676.01","1444389300555.59","1483377046962.94","1537557122109.35","1600695504155.07","1627437401100.12"
"168","Senegal","SEN","18883827698.7975","19748880066.6379","19878196453.8402","21206701680.3498","22451698830.081","23714069588.0582","24297808070.9315","25497751698.0472","26436712626.5017","27077320680.143","28208980218.9773","28705773660.7836","29972037089.0215","31007712333.868","32271302448.8208","34355030694.4623","36671184406.7742"
"169","Serbia","SRB","60016791987.7882","63013258782.5893","67497148744.307","70477427339.6081","76853177009.7291","81111171159.0459","85089145953.6054","90099841611.5919","94935214876.4095","91977060455.3831","92514646219.6627","93811207287.0893","92858769879.2411","95246850535.8361","93502593907.5023","94211077230.0959","96846466038.9931"
"170","Seychelles","SYC","1497119248.82187","1463117233.94719","1480862377.23571","1393682120.58042","1353955857.57944","1475889891.95732","1614713982.5559","1782990368.6188","1744711479.34902","1725428129.11537","1828176726.62899","1972370136.58509","1997238347.69102","2117433674.70159","2212819518.38359","2322074969.63957","2426638739.09138"
"171","Sierra Leone","SLE","4166028117.63158","3901674671.76389","4932392422.48442","5391752095.48785","5747496925.68413","6006427160.95452","6260133495.44965","6764584139.28791","7129755684.33792","7357055947.07264","7750398445.7683","8239839598.10149","9490793018.72056","11456883708.9668","11978947819.8427","9511431824.32316","10087394108.218"
"172","Singapore","SGP","208267676641.068","206284364245.874","214972415073.77","224507147107.999","245945728542.529","264364991416.318","287788248113.175","314010152467.502","319623461471.25","317694890905.896","366112790103.877","389363416963.897","405262284219.857","425975593195.148","442520005183.071","452437135020.347","463282150230.625"
"173","Sint Maarten (Dutch part)","SXM","","","","","","","","","","","","1214600998.53945","","","","",""
"174","Slovak Republic","SVK","84092032397.8966","86880917906.687","90810361317.6689","95731116836.4731","100765459657.34","107568096372.995","116660706811.781","129259569729.464","136536597873.784","129132843080.898","135643355150.545","139467276321.22","141778456459.842","143891871970.657","147849380511.92","153541730404.611","158646525092.715"
"175","Slovenia","SVN","45194993242.3199","46527958795.7851","48312913334.4512","49686006435.3226","51848239846.6964","53923728705.9279","56973654376.1001","60928563587.6141","62939285575.3855","58031735404.3469","58750026638.2386","59131529881.2443","57552965172.269","56901433963.2612","58596639229.2688","59920280117.7332","61806783546.4195"
"176","Solomon Islands","SLB","749601122.199839","689793713.678893","670479472.300594","714060650.272883","749037989.703004","789644786.508987","844498646.057673","906315957.621052","970614499.212654","924725083.636905","987690030.341458","1118021978.56451","1168952288.0424","1204229508.16198","1231325764.4591","1262629023.04467","1306273136.55186"
"177","Somalia","SOM","","","","","","","","","","","","","","","","",""
"178","South Africa","ZAF","436200956487.033","448133213110.429","464569829105.134","478270356407.66","500053514199.599","526441896878.618","555941936088.404","585743009768.93","604434371717.942","595137561424.749","613228416508.852","633367849861.212","647386520300.446","663475278400.651","675729722800.99","684375943108.756","688245151055.28"
"179","South Sudan","SSD","","","","","","","","","","","","35254040080.2178","16771213085.974","21689120221.649","22322569221.9212","22283520995.877","19200880484.2784"
"180","Spain","ESP","1215702513030.13","1264343668195.29","1300755199282.04","1342217700982.32","1384722333058.78","1436275570283.16","1496227481883.23","1552620182077.6","1569973613838.85","1513866659070.21","1514079567426.63","1498957471269.2","1455071736301.74","1430252504937.02","1449989950005.04","1499757278318.65","1548866271582.79"
"181","Sri Lanka","LKA","104087805025.947","102479223620.425","106542192482.158","112871085396.777","119016985161.662","126445725505.795","136141952832.794","145395284641.793","154046432236.768","159497999994.398","172283294928.164","186763254710.557","203841968804.495","210763876962.754","221219254392.395","232297214061.447","242678180928.692"
"182","St. Kitts and Nevis","KNA","915342080.497114","965354354.943385","990281438.713607","954480807.506373","988905844.880141","1075647054.83031","1095138129.91544","1093204762.96945","1161988279.80985","1126895750.78125","1101550703.75514","1127973937.87452","1121199885.7461","1190937335.50258","1261953602.36549","1312133355.37693","1341119961.45979"
"183","St. Lucia","LCA","1714912520.2524","1658045724.61645","1663677546.97117","1735643810.25758","1861461942.19908","1854714318.94054","1970119874.56262","1989533163.35029","2102027754.99083","2126832001.36248","2092331468.29681","2105522738.84117","2109343314.73338","2180947315.86058","2176247686.4888","2218980660.89764","2255674002.64679"
"184","St. Martin (French part)","MAF","","","","","","","","","","","","","","","","",""
"185","St. Vincent and the Grenadines","VCT","815130043.169074","829063995.230257","881488285.24682","949272894.15673","988727374.323136","1013326959.39833","1091235193.83391","1073976492.55497","1145578638.88971","1121532241.48905","1083921367.41136","1079375927.09453","1094278255.28341","1114328563.05479","1125295664.16648","1145803698.02255","1160357786.56556"
"186","Sudan","SDN","77634785973.4331","82681326873.5433","87995482216.9944","94801573495.9229","98483009911.5992","105859129468.495","116513118306.148","129937654974.458","140075343173.136","144616372285.105","149633598838.509","146689215152.158","147454286346.948","153934476283.923","158059014825.417","165813461495.166","173606694255.104"
"187","Suriname","SUR","4596854781.11292","4806153137.96811","5012815051.18943","5314092982.71754","5805967127.52466","6071341333.34876","6304610610.59633","6626870013.30252","6901448177.8532","7109437027.04877","7476911396.97139","7914263443.50122","8127184834.57495","8365591025.35249","8386965373.49116","8169111440.53928","7749023290.58299"
"188","Sweden","SWE","326980412839.039","332092458224.36","338978651763.079","347065801848.275","362060883277.643","372264952385.367","389717206697.339","402986878421.322","400742049575.134","379964940714.511","402720761918.787","413450885918.452","412267090797.332","417384170200.757","428254217021.832","447619741442.096","462099980110.756"
"189","Switzerland","CHE","364787308013.505","369574862985.068","370175839396.318","370322342288.166","380603318182.338","392460046038.004","408113841736.769","424894984243.155","434050204376.511","424405143876.456","437148753344.887","444548844577.953","449021113079.239","457337162612.373","468538347161.17","474284428168.809","480810034082.159"
"190","Syrian Arab Republic","SYR","","","","","","","","","","","","","","","","",""
"191","Tajikistan","TJK","7334305858.05441","8082405132.74631","8955304880.51523","9940388158.76911","10964248309.0613","11698852623.1307","12517772528.4093","13494158953.9223","14560197218.6095","15113484857.4058","16095861426.4997","17286955072.7244","18583476559.5105","19958653930.8182","21295734185.9823","22573478237.1413","24131048563.8885"
"192","Tanzania","TZA","49199068982.4716","52149944939.5634","55885734164.5553","59734152418.3555","64410320105.0015","69674791879.0266","72922035020.5017","79094434073.7384","83497301398.9383","87991415201.5312","93586689055.5195","100984255978.622","106175870333.219","113887488559.753","121819905812.853","130297735873.554","139377050836.092"
"193","Thailand","THA","578525081614.109","598450895670.551","635248922011.683","680919063113.322","723744027775.072","754053232928.616","791513970348.719","834533487340.846","848934763916.236","843070888414.683","906415783926.717","914029309163.43","980230501537.18","1006573019194.11","1016481865557.81","1047181386507.16","1081557032644.2"
"194","Timor-Leste","TLS","2883285118.19589","3148659331.13616","2932450536.1097","2897772798.14375","4754374800.36099","6460228799.66042","9152490644.88892","9626498153.60671","10589601707.5509","9948049058.37293","9831919417.99759","10995180308.52","11541086016.4164","10271413163.6492","7595739489.95561","9181787638.91478","9257494565.59067"
"195","Togo","TGO","6347110652.51017","6243855458.3497","6186277681.45619","6492770478.53086","6630356525.81537","6708621715.48175","6980482743.28204","7140367481.75561","7299274948.58694","7555501154.42276","7857394710.04464","8241131319.98898","8638382159.23653","8981135250.1421","9508482932.38876","10020499732.9018","10561420957.3132"
"196","Tonga","TON","451347685.2905","467604275.013277","483591088.379123","493788001.360932","492052731.545802","499837834.259327","495778040.835924","475125039.576608","489851634.579014","501072238.350287","519038971.996313","533494964.58507","538244790.721375","521448304.094439","532255879.506033","552012402.710668","570667516.956158"
"197","Trinidad and Tobago","TTO","23234485891.6293","24203021031.083","26123944534.76","29896612153.5835","32273271332.4063","34277116487.2069","38804457830.8424","40649295468.1803","42027477868.3266","40182222585.8276","41517610649.3548","41395401723.1008","41931049507.5665","42342330126.9074","42235558537.1366","42876340788.2227","40322170864.0359"
"198","Tunisia","TUN","73461031497.0289","76249747293.945","77258198710.3167","80891197374.4194","85935405701.1303","88931574399.0828","93595319741.3615","99875210400.5413","104107698931.537","107276163606.579","111042209873.313","108913333410.658","113267333425.465","116524362603.66","119986765585.714","121370951915.959","122716219012.236"
"199","Turkey","TUR","876637746767.248","824369880674.021","877379160714.668","926584821566.055","1015947651508.56","1107483043639.19","1186221803039.24","1245894189969.5","1256425128569.84","1197317035818.93","1298937788904.93","1443295182244.23","1512428158484.74","1640853112763.78","1725630917991.58","1830650859347.06","1888935698850.36"
"200","Turkmenistan","TKM","24084929649.3187","25131141833.6894","25195774085.4105","26019380744.515","27320455794.4987","30883142515.0994","34270126251.2263","38060162142.2507","43655005977.1616","46317961391.909","50579213834.4319","58014358231.6118","64453951973.0168","71028255139.6201","78344165398.0803","83436536078.0671","88609601286.8977"
"201","Turks and Caicos Islands","TCA","","","","","","","","","","","","","","","","",""
"202","Tuvalu","TUV","28668964.1842038","29137445.9192625","31435275.7082488","30387369.3084082","29976477.0395968","28843447.1554959","29460390.701966","31331291.9259354","33832550.7051506","32332804.0097099","31450303.4323658","33814063.1123344","32517116.4346349","34005308.3273913","34463673.9976082","37614657.3553522","38756243.7856913"
"203","Uganda","UGA","25235916000.907","26544060368.5091","28862069749.5015","30730386182.3317","32822275277.3584","34900767231.9514","38664725766.6832","41917367196.571","45567846709.3273","48667151708.3788","51410810956.9769","56239143509.149","58397295674.4931","60491951675.3822","63580856634.3871","66879342376.0262","69993629513.2688"
"204","Ukraine","UKR","235915243299.818","257619445701.624","271015656803.621","296491128571.161","332366555154.708","341340452061.716","366258305176.147","395192714090.521","404282146479.787","344448388739.992","358915221129.055","378531847053.314","379435331807.793","379333910074.22","354477604622.423","319834600676.306","327215110107.906"
"205","United Arab Emirates","ARE","323805488446.168","328335802562.393","336325712510.703","365924194111.091","400930100280.773","420395822747.907","461751504145.992","476455473670.801","491663152318.908","465885637198.927","473352898597.34","506157540235.955","528856813316.109","555581777013.456","580020134207.324","609396422815.631","627607880369.601"
"206","United Kingdom","GBR","1959125227500.53","2008967931384.09","2058345904507.78","2126804622689.01","2177091968105.27","2244496671673.8","2299621502099.35","2353816871294.11","2342694137578.92","2244587742721.44","2282623340115.04","2315781273900.51","2350085632685.91","2398318520149.26","2471569187815.96","2529550706086.52","2578517519722.8"
"207","United States","USA","12975535505116","13102174374501.4","13336195938663","13710513079778.6","14229557848352.8","14705567303239.4","15097709758825.3","15366233131464.9","15321421898260.6","14896171302291.4","15273330534513","15517926000000","15863049462118.7","16129125392354.4","16543513848733.5","17016920894553","17269669679921.6"
"208","Uruguay","URY","42760248090.9754","41116488580.2307","37937358718.0211","38242862166.4545","40156596317.4643","43152331451.8578","44920963140.1066","47859472816.8147","51293937820.6379","53470593085.6858","57643122516.3077","60618737180.8227","62763536432.1202","65674219687.9447","67801270546.5163","68052637835.954","69202590059.5562"
"209","Uzbekistan","UZB","61716155048.0215","64308233565.0629","66880562905.6512","69689546546.6926","75055641629.0981","80309536546.8838","86172132712.7193","94721402573.4454","103246328805.335","111609281434.231","121096070356.98","131147044195.496","141901101820.769","153253189967.997","165195479080.893","178411117405.574","192327184565.917"
"210","Vanuatu","VUT","522417511.133698","504192935.72488","478422532.772211","498963274.955394","518845738.160598","546359361.369763","592609554.748395","623268288.630118","663459877.341069","685439080.994646","696605442.917373","705126498.576747","717499705.292432","731628322.616058","748682624.286249","742684971.375788","772396636.853825"
"211","Venezuela, RB","VEN","352951994981.059","364932019037.874","332614926354.18","306819640805.661","362926541764.776","400372989517.047","439898408032.37","478405261853.999","503654793696.135","487526242853.028","480267994804.158","500326029131.469","528474156265.564","535572061140.563","514714815230.269","",""
"212","Vietnam","VNM","205700028995.84","218438812333.919","232245938629.227","248268733392.25","266979284561.457","287128872547.691","307164595525.796","329063909136.955","347694754800.47","366462961426.174","390001750416.291","414339040368.18","436080931087.148","459724728918.095","487233068977.34","519776772729.426","552059129177.139"
"213","Virgin Islands (U.S.)","VIR","","","","","","","","","","","","","","","","",""
"214","West Bank and Gaza","PSE","12281582848.0676","11488843324.7418","11325996806.1783","12412737411.2784","13479752541.5591","14954393071.2499","14268928038.2033","14022503136.6171","12991748105.6915","15471828187.3181","15902759441.6603","17107576519.9196","19594339840.2037","18755698036.0686","18551000364.9706","20843769202.585","21565389921.5399"
"215","Yemen, Rep.","YEM","69601009637.2729","72248385567.1288","75091526798.021","77905505310.257","81000454516.041","85529795872.6955","88241440525.9683","91187317445.3093","94513438197.0716","98167544641.1174","105728710342.631","92285413833.7169","94493778267.2189","99051605324.5089","98864802466.7091","62139740193.6574","40801106052.6779"
