"","country","countryiso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"68","Finland","FIN","","","","","","","","","","","","","","","","","",""
"69","France","FRA","","","","","","","","","","","","","","","","","",""
"70","French Polynesia","PYF","","","","","","","","","","","","","","","","","",""
"71","Gabon","GAB","","","","","","29.8","","","","","","","","","","","",""
"72","Gambia, The","GMB","","","","","","","","","","","32.7","","","","","","",""
"73","Georgia","GEO","","","","","","","","","","","","","","","","","",""
"74","Germany","DEU","","","","","","","","","","","","","","","","","",""
"75","Ghana","GHA","","","","","","12.4","","","","","","","10.6","","","","",""
"76","Gibraltar","GIB","","","","","","","","","","","","","","","","","",""
"77","Greece","GRC","","","","","","","","","","","","","","","","","",""
"78","Greenland","GRL","","","","","","","","","","","","","","","","","",""
"79","Grenada","GRD","","","","","","","","","","","","","","","","","",""
"80","Guam","GUM","","","","","","","","","","","","","","","","","",""
"81","Guatemala","GTM","27.1","","","","","","30","","","","","","","","42.2","","",""
"82","Guinea","GIN","","","23.5","","","","","30.5","","","","","35.4","","","","",""
"83","Guinea-Bissau","GNB","","","51.6","","","","","","","","51","","","","","","",""
"84","Guyana","GUY","","","","","","","","","","","","","","","","","",""
"85","Haiti","HTI","","","","","","","","","","","","","40.6","","","","",""
"86","Honduras","HND","","55.9","58","57.5","57.1","57.7","52.9","51","55.2","52.8","54.3","58.5","63.6","60.4","61","","",""
"87","Hong Kong SAR, China","HKG","","","","","","","","","","","","","","","","","",""
"88","Hungary","HUN","","","","","","","","","","","","","","","","","",""
"89","Iceland","ISL","","","","","","","","","","","","","","","","","",""
"90","India","IND","","","","","25.7","","","","","20.9","","13.7","","","","","",""
"91","Indonesia","IDN","","","14.5","13.6","12.1","11.7","13.5","12.5","11.7","10.7","9.9","9.2","8.8","8.4","8.3","","",""
"92","Iran, Islamic Rep.","IRN","","","","","","","","","","","","","","","","","",""
"93","Iraq","IRQ","","","","","","","15.7","","","","","","14.8","","","","",""
"94","Ireland","IRL","","","","","","","","","","","","","","","","","",""
"95","Isle of Man","IMN","","","","","","","","","","","","","","","","","",""
"96","Israel","ISR","","","","","","","","","","","","","","","","","",""
"97","Italy","ITA","","","","","","","","","","","","","","","","","",""
"98","Jamaica","JAM","12.6","9.9","10.6","","","","","","","","","","","","","","",""
"99","Japan","JPN","","","","","","","","","","","","","","","","","",""
"100","Jordan","JOR","","","","","","","","","","","13.9","","","","","","",""
"101","Kazakhstan","KAZ","","36","33","24.7","23.4","20.2","13.6","6.9","8.1","4.1","3.7","2.4","1.9","1.3","1.3","1.3","",""
"102","Kenya","KEN","","","","","","33.7","","","","","","","","","","","",""
"103","Kiribati","KIR","","","","","","","","","","","","","","","","","",""
"104","Korea, Dem. People’s Rep.","PRK","","","","","","","","","","","","","","","","","",""
"105","Korea, Rep.","KOR","","","","","","","","","","","","","","","","","",""
"106","Kosovo","XKX","","","","","","","","","","","","","","","","","",""
"107","Kuwait","KWT","","","","","","","","","","","","","","","","","",""
"108","Kyrgyz Republic","KGZ","","","","","","","26.7","23.2","22.6","21.9","23.6","30.7","35.4","28.5","26.9","29.3","",""
"109","Lao PDR","LAO","","","19.7","","","","","17.4","","","","","10","","","","",""
"110","Latvia","LVA","","","","","","","","","","","","","","","","","",""
"111","Lebanon","LBN","","","","","","","","","","","","","","","","","",""
"112","Lesotho","LSO","","","41.5","","","","","","","","39.6","","","","","","",""
"113","Liberia","LBR","","","","","","","","55.1","","","","","","","","","",""
"114","Libya","LBY","","","","","","","","","","","","","","","","","",""
"115","Liechtenstein","LIE","","","","","","","","","","","","","","","","","",""
"116","Lithuania","LTU","","","","","","","","","","","","","","","","","",""
"117","Luxembourg","LUX","","","","","","","","","","","","","","","","","",""
"118","Macao SAR, China","MAC","","","","","","","","","","","","","","","","","",""
"119","Macedonia, FYR","MKD","","","","","","","","","","","","","","","","","",""
"120","Madagascar","MDG","","45.6","","","","","","","","","","","","","","","",""
"121","Malawi","MWI","","","","","25.4","","","","","","17.3","","","","","","",""
"122","Malaysia","MYS","","","2.3","","2.5","","","2","","1.7","","","1","","0.3","","",""
"123","Maldives","MDV","","","17.5","","","","","","","18.2","","","","","","","",""
"124","Mali","MLI","","","","","","","","","","","","","","","","","",""
"125","Malta","MLT","","","","","","","","","","","","","","","","","",""
"126","Marshall Islands","MHL","","","","","","","","","","","","","","","","","",""
